"judul_webtoon","sinopsis_webtoon"
"Teman Rasa Pacar","Andhra dan Bella sudah berteman sejak kecil, tapi bukannya terjebak di friendzone, hubungan mereka malah seperti Teman Rasa Pacar! Kalau sudah seperti ini, bagaimana kelanjutannya? Apakah tetap menjadi teman, atau pacar?!"
"LOSER LIFE","""Kalau waktu bisa kuputar kembali..
dan kalau saja aku bisa kembali ke masa SMA saat semua ini dimulai..
Akan kubuat kamu merasakan penderitaan yang kualami!!""

Jang Ancheol yang selalu mengganggu teman-teman waktu SMA,
mendadak kembali ke masa lalu dengan tubuh Kim Jinwoo yang dulu ia ganggu.

Bagaimana nasib Jang Ancheol yang menjadi Kim Jinwoo!?
Apakah dia bisa keluar dari situasi ini?!"
"The Second Marriage","Navier, Ratu dari  sebuah kerajaan sempurna, menerima permohonan cerai dari sang raja. Namun, semuanya tidak berakhir disitu saja karena Navier memutuskan untuk mengajukan permintaan untuk menikah lagi!
Cerita dari webnovel yang populer ini akhirnya menjadi Webtoon!"
"SCREAM 2019","SETIAP HARI KISAH SERAM INI AKAN MENDATANGIMU...
APAKAH KALIAN...SUDAH SIAP BACA INI?"
"10 PM","Setelah hilangnya siaran radio misterius yang mengambil energi pendengarnya, muncul sebuah aplikasi pendeteksi hantu misterius dengan nama yang sama, 10 PM. Viska yang menyadari hal ini bertekad memberantas sumbernya dengan bantuan Arvino."
"3cm Hunter","Semua orang di dunia mendadak menciut menjadi 3cm..?!
Dari tikus....sampai eskalator...
Sekarang semuanya dari kehidupan kita menjadi ancaman.
Apakah Baekhyun bisa menyelesaikan misinya dan menyelamatkan dunia ini dengan menuggunakan kemampuan yang ia dapatkan?"
"Zona Maya","Merasa terkurung ketika mencari tempat bernaung, mampukah Maya bertahan saat orang yang paling ia hindari kembali lagi di hidupnya?"
"Mistake","Sepasang murid terpaksa menikah karena sebuah video menghebohkan yang tersebar luas. Sekarang, mereka harus menanggung beban dan cemoohan dari orang-orang yang tidak mengetahui cerita sebenarnya di balik video tersebut...."
"GET BACK","Kecelakaan di panti asuhan mengubah hidup dua wanita ini untuk selamanya. Di dunia dimana bakat dan kemampuan adalah segalanya, bagaimana dengan nasib mereka sekarang?"
"Lazy Dogs","Memiliki anjing peliharaan sepertinya terlihat sangat menyenangkan.
Namun dibalik kebahagiaan itu, ada suka dan duka dari memiliki hewan peliharaan, dan semua itu ada di webtoon ini!"
"Deadline is Coming","Memiliki mimpi untuk menjadi seorang penulis, Ahn Bom mendapatkan kesempatan untuk job interview di suatu perusahaan penerbitan. 

Dalam perjalanan untuk interview, Ahn Bom bertabrakkan dengan seorang cowok. Ahn Bom memarahi cowok tersebut karena tidak minta maaf, tetapi, ternyata orang itu adalah ketua tim di perusahaan penerbitan itu!!"
"Knitting Room","Datanglah ke tempat hangat ini untuk sembuhkan luka hatimu"
"Top Corner","Anak yang jenius di pelajaran matematika, mencoba untuk bermain sepak bola?!
Apakah semua kalkulasinya akan mencetakkan gol untuk timnya?!"
"Take My Money","Suatu hari, mahasiswi bernama Mina yang sangat kaya, cantik dan populer jatuh cinta dengan seorang senior. Walaupun Mina terus berusaha untuk mendapatkan hati seniornya dengan menggunakan uangnya, tapi hati sang pangeran itu sama sekali tidak bergeming.

Apakah kisah cinta Mina yang bertepuk sebelah tangan bisa berhasil?!"
"PIGPEN","Terbangun dengan amnesia dan di pulau terpencil... Tunggu dulu, siapa keluarga ini dan mau apa mereka?!"
"Summer Breeze","Bertemu dengan seseorang yang kukenal, di tempat yang asing.
Setelah musim panas ini selesai, mungkin kita...

Kisah singkat namun indah dari author ""Spirit Fingers!"""
"The Era of Overman","Jika memang ada 'Manusia Super' di dunia ini,
Apakah kalian akan percaya dengan hal tersebut?

Tiap monster-monster muncul, seorang siswa yang seperti pelajar pada umumnya, memiliki kekuatan super yang dapat menghabisi monster-monster ini.

Tetapi.. siapa sebenarnya siswa ini? Dan darimana asalnya monster-monster yang bermunculan ini?"
"Creep In","Mereka datang dengan tiga alasan, sekedar menyapamu, menyukaimu, atau ingin mencelakaimu"
"Just Friends","Aaron dan Bagas adalah sahabat yang sangat erat. Tapi ternyata mereka dicurigai semua orang! Inikah artinya persahabatanmu sedang diuji?"
"Sydney I'm in Love","Zara kabur ke Sydney agar tidak dijodohkan ayahnya, tapi siapa sangka di sana ia malah menemukan sebuah cinta!"
"Romantic Palette","Bergabung ke klub ilustrasi ""Palette"" Dimana imajinasimu menjadi kenyataan!"
"Rumor Has It","Kehidupan yang toxic dan penuh rumor tidak membuat Agatha Bellen, seorang penulis thriller menyerah dalam menjalani hidupnya. Oh... Rumor Has It, dia bukanlah protagonis dalam kisah ini"
"Cupid's App","Sebuah aplikasi perjodohan bernama Cupid’s App muncul di HP semua orang secara misterius dan tidak bisa dihapus. Jeane, mahasiswi quirky tanpa terduga dipasangkan oleh Cupid’s App dengan Bran, trainee boyband di sebuah agensi kecil, yang juga merupakan orang yang membuatnya trauma dengan cinta."
"MAMAMAAF","Ibuku menjadi lebih muda daripada aku!
Aku harus gimana yah...?"
"Nan Yak","Bila kamu bisa melihat semua kenyataan, dan mengetahui bahwa sebuah petualangan ke dunia lain menunggumu, apakah kamu akan pergi? Pilihan ada di tanganmu."
"Aku...ratu?!","Aku terlempar ke dunia asing!
Lalu disuruh jadi...ratu?!"
"You and I","Apakah sesusah ini berubah dari teman jadi pacar? "
"Swimming Class for Mermaid","Ternyata teman sekelasku adalah seorang duyung..!!"
"Sayonara, Manga","Nasib perusahaan besar jatuh di tangan anak magang?"
"Dandelion Repose","Bagaimana rasanya tidak bisa tertidur? Bagaimana kalau itu berulang di tiap malam-mu? Disaat tak ada harapan pasti yang dapat kau pegang, bisakah kau bertahan di mimpi buruk ini? Ini ceritaku, dan serangkai bunga dandelion yang akan membunuhmu."
"My Bad Boyfriend","Ditembak cowok galak!?? Haruskah kuterima?"
"CEO's Top Secret","Webnovel Romantis menjadi nyata!"
"MANGSA","Di saat kala realita dan mimpi buruk menjadi kenyataan. Kisah para pelajar yang bisa melihat hantu dan bagaimana mereka menghadapi hal-hal yang menyeramkan di sekitar."
"Terlalu Cantik","Saat Terlalu Cantik ketemu Terlalu Tampan...."
"Tsundere's Rule","Setelah 20 tahun naksir Minwoo, akhirnya Yumi memutuskan menyerah. Anehnya, Minwoo malah mendekat saat Yumi memutuskan untuk menjauh. Dasar tsundere!"
"OCEAN MEMORIES","Suatu malam, pusaka pelindung duyung dicuri. Nerissa, putri mahkota yang mengetahui hal ini pun mengejar para pencuri. Tanpa ia duga, pengejaran cincin tersebut mempertemukan Nerissa dengan manusia yang dulu menjadi sahabatnya. Sayangnya, sahabatnya sekarang sangat membenci duyung."
"DEAD LIFE","Apakah zombie ini akan menghancurkan atau menyelamatkan dunia ini..?!"
"Jangan Baca Webtoon Ini!","Inikah dunia di dalam webtoon?!"
"Her Weird Hobby","Katanya, cowok tuh gampang kegeeran kalo dideketin cewek..Gue mau buktiin!...Tapi kok gue jadi ga bisa berhenti ya?"
"Aku dan Para Mantan","Naomi nggak menduga bahwa ternyata dia ketemu mantannya di meeting kantor. Bukan cuma satu, tapi DUA mantan sekaligus!"
"Kolak","Berbukalah dengan yang manis,
bersama komik spesial Ramadan!
Setiap hari pukul 17.00 WIB selama bulan Ramadan 2019."
"The Girls are Monster","Anggi adalah seorang siluman Cangcorang yang ingin punya pacar. Namun dia terpaksa menjomblo karena tanpa sengaja memakan kepala gebetannya saat ingin berciuman. Bersama teman-temannya yang senasib, Anggi berusaha mendapatkan pasangan sejatinya sebelum kisah kasih di sekolahnya berakhir hambar."
"My Anti-Fan!","Kenapa aku nikah sama dia?
Padahal aku ini hater-nya!"
"Take Me","Tinggal bersama dengan gebetan..tapi dia hantu!?"
"Killstagram","Pembunuhan berantai lewat hashtag"
"Kawan Kelam","Kawan Kelam"
"CODE HELIX","Semua informasimu ada ditanganku!"
"Cewekku Galak","Cewek galak itu semakin mendekatiku...!"
"Suddenly, I Became a Princess","Apa katamu? Aku menjadi putri!?"
"Notice Me","Serumah dengan gebetan?!!"
"Magical Change","Jika berubah, maka akan menjadi kuat!"
"WEAK HERO","Pahlawan lemah yang paling kuat!"
"Brothers and Sisters","Kakak-kakak! Jangan bertengkar gara-gara kami!"
"Study Group","Perkelahian demi menjaga study group"
"Oh, My Devil!","Orang asing yang tidak kukenal bilang aku adalah pacarnya!"
"Make-Up Man","Cowok ini mencari cewek dengan muka yang biasa aja. Buat dipacari? Bukan!"
"Vending Machine of Death","Mesin ini bisa mengabulkan permintaan, jika dibayar dengan nyawa..."
"Boyfriends","Cerita tentang Si First Love, Si Pacar, dan Si Mantan"
"It's Mine","""Bagaimana cara untuk mendekatimu?""
Hari ini juga laki-laki itu mengintip gadis idamannya secara diam-diam"
"ALPHA","Cerita spin-off buat para fans yang kangen ""Noblesse""!"
"Friends","Ayo selamatkan klub musik yang terancam bubar!!"
"SELEBGRAM","Suatu hari, idol populer ini mengirim DM ke aku!"
"2D Boyfriends","Siapa pacarmu di antara cowok-cowok ganteng ini ?!"
"Money and the Power","Aku akan menghancurkan peraturan sekolah yang buruk ini!"
"Wendy the Florist","Katanya perempuan ini bisa menumbuhkan tanaman secera ajaib!"
"Curse of Tomorrow","Kutukan kematian datang karena kelalaiannya!"
"The Lost Harmony","Dia mengubah kebencianku terhadap musik"
"Malaikat Maut Tampan","Ganteng-ganteng kok hobinya ngajak orang masuk neraka?"
"SAVE ME","Siap-siap menyambut tanggal 15 Januari 2022!
Bakal ada serial webtoon yang berkolaborasi dengan BTS, TXT, dan ENHYPEN di LINE WEBTOON! Tungguin ya ;)
-----------------------------------------------------

""SAVE ME"", kisah kehidupan 7 laki-laki dalam momen indah dan sedih."
"Heroine","Berbagai rintangan berani dihadapi oleh para perempuan ini!"
"Romance Punch","Percaya nggak, kalau aku alergi dengan kekerasan?!"
"Whisper of Hope","Di manakah dirimu, separuh jiwaku yang hilang?"
"iMarried","Maaf ya, tapi aku hanya mencintaimu kalau di depan kamera saja!"
"The Infectee","Suatu hari, aku berubah menjadi monster."
"The Chosen","Karena aku dan kamu sudah ditakdirkan bersama!"
"Warung","Manis pahitnya kehidupan, semuanya ada di warung ini!"
"Nightmare","Mimpi terburukmu benar-benar jadi nyata...! Webtoon ini adalah hasil kolaborasi antara para author dan pembaca!"
"Young Mom","Bisakah aku jadi seorang ibu yang baik..?"
"Your Letter","Suatu hari, surat ini terkirim kepadaku"
"Between Us","Siapa sangka kita bisa ketemu kembali"
"9 Lives","Mitos apa di balik 9 nyawa kucing?"
"ULTRA SMASH!!","Smash terkeren yang akan mengguncang dunia!"
"A Good Day to be a Dog","Kisah romantis cowok pembenci anjing dengan cewek yang berubah menjadi anjing"
"Strangers from Hell","""Strangers from Hell"" kembali dengan episode spesial! Kenapa orang-orang di kos ini sangat aneh...!?"
"[C]LOSER","Dekat dengan idola rasanya tak selalu indah"
"Dulu Gwe(n) Pernah","Biar Chubby, yang penting happy!"
"BLUE","Aku bisa melihat banyak hantu, tapi ada satu yang tak bisa kulupakan..."
"GOOD/BAD FORTUNE","Hati-hati! Jika bertemu mereka, nasib kalian akan berubah...!"
"Tweening","Akan kulakukan semua hal demi mengejar mimpiku...!"
"Switched Girls","Nasibku tertukar dengan temanku gara-gara ditabrak mobil...!"
"Infinite Sky","Pernikahan Politik!? Akankah berakhir bahagia?"
"The Secret of Angel (True Beauty)","DRAMA TER-HOT ""TRUE BEAUTY""!
TEMUKAN KARYA ASLINYA SEKARANG!"
"Out of Batteries","Aku hidup kembali! Tapi sekarang hidupku seperti baterai!?"
"Drackocong","Kolaborasi Dracko Diary dan Si Ocong!
Mereka mau ngapain ya?"
"Kurma","Kumpulan komik Ramadan dari 33 komikus, spesial dibuat untuk kamu!"
"Sofia: Fashion Investigation","Saatnya pecahkan misteri gelap yang menyelubungi dunia fashion!"
"Winter Woods","Ribuan tahun telah berlalu sejak Winter diciptakan dan ia masih belajar untuk jadi manusia seutuhnya"
"Webtoon Legends: Orange Marmalade","Apa jadinya bila seorang vampir jatuh cinta dengan murid terpopuler di sekolah yang membenci vampir?"
"Webtoon Legends: Girls of the Wild's","Inilah kisah gadis-gadis super tangguh, tapi juga mendambakan cinta sejati!"
"I Love Yoo","Tadinya sih nggak mau jatuh cinta.."
"Si Unis","Yuk Ikut kucing gembul ini keliling kompleks!"
"Bingkai Titik","Titik kehidupan dalam bingkai tanpa kata"
"Return My School Life","Aku sudah mati, tapi kenapa harus tetap sekolah?!"
"Secret of Aura","Hantu manis pergi mencari lelaki idamannya!"
"SARIMIN","Permohonanmu akan dikabulkan, dengan syarat yang berat..!"
"GOMBALAN GOCENG","Gombalan receh? Ah, udah biasa! Saatnya cobain strategi Gombalan Goceng bareng Cornetto biar PDKT makin lancar!"
"Be A Poem","Seekor rakun yang suka tantangan, menelusuri hutan untuk balas dendam."
"Honey Honey Wedding","Nikah sama guru...? Tapi aku belum siap!"
"Ghost's Wife","Apakah kamu siap jadi istri hantu?"
"Sweet Home","Ketika putus asa sudah melanda..Itu saatnya keluar dari sini!"
"Hari Berarti","Kumpulan kisah pemenang LINE CREATIVATE 2017. Tiap hari satu episode selama bulan Januari."
"Troll Trap","Membunuh troll dan menyelamatkan dunia! Ikuti tantangan Troll Hunter!"
"Dreamscape","Pergi bareng ke dunia mimpi dengan Kastria, Putri dan Penyihir!"
"Sing Bahu Rekso","Dia akan mengintaimu sampai akhirnya melahapmu!"
"Riot_404","Teknologi dan digital telah berkembang pesat. Dunia yang tadinya di bawah kaki ini, kemudian menyusut ke genggaman tangan. Tidak ada tempat untuk kalian kabur..!"
"Kecoa dan Dendam","Kisah kehidupan seekor kecoa yang ingin memerangi manusia untuk membalaskan dendam kematian keluarganya.
Dapatkan para kecoa mengalahkan manusia?"
"My Oppa is an Idol","Dia bukan fans idol biasa!"
"CHANGE","Kenapa aku berubah jadi cewek?!"
"Matahari 1/2 Lingkar","Arka seperti matahari bagi Kayra, menyinari hati dan hari-hari kehidupan Kayra di sekolah. Tapi, akankah Matahari Arka terus tersenyum padanya?
"
"LARA(S)HATI","Radi diundang ke grup PEDAL, alias Perkumpulan Ditolak Laras, setelah dia nembak Laras dan (diduga) ditolak, Tapi, kenapa PEDAL ribet dan banyak aturan ya?"
"SEKOTENGS","Lika-liku perjalanan empat cowok ganteng dalam mengejar impian mereka sebagai dokter diwarnai keabsurdan dan hal-hal kocak lainnya."
"Virgo and the Sparklings","Riani yang peka terhadap suara dan punya kekuatan misterius diajak ngeband oleh Monica dan Ussy. Tapi, rintangan di depan mereka tidak semudah itu dilalui...."
"Oh! Holy","Cewek idola sekolah dan cowok pemalu ini saling suka tapi jadi celaka!"
"Super Secret","Siapapun punya rahasia...Rahasia besarku ada di sebelah kamarku!"
"Reawaken Man","Dikira meninggal,namun ia bangkit kembali.. Untuk balas dendam."
"Seventeen","Drama Korea populer bisa dibaca di webtoon!?"
"SMAS'D","Anak SMA nunggu bus. Anak SD nunggu dijemput. Tiap hari mereka selalu duduk di halte yang sama setelah pulang sekolah. Dari gak kenal, terpaksa deh jadi akrab!"
"Demoniac","Doktor Cheon dirasuki oleh Mayago?!"
"Brotherhood","Aku benci kakakku!"
"HANA HARU","Kisah cinta seorang gadis dan werewolf."
"Webtoon Ramadhan 2017","Kompilasi webtoon dari para Webtoonist Official dan Webtoonist Challenge untuk menemanimu menunggu buka puasa di bulan Ramadhan. Terbit setiap hari pukul 5 sore selama bulan Ramadhan 2017."
"Demi 5kg","Buat kamu yang cuma ngomong ""Aku mau diet!"""
"Surrounded by Them","Empat cowok kembar menyukaiku! Apa ini keberuntungan?!"
"Be My Father","Aku ada satu permintaan...Maukah kamu jadi ayahku!?"
"Ghost's Dilemma","Railo yang telah meninggal tiba-tiba kembali ke dunia ini. Urusan apakah yang harus dituntaskannya?"
"Kisah Usil Si Juki Kecil","Si Juki telah kembali!
Yuk, ikutin kisah jahil Si Juki Kecil!"
"Cases of Suicide","Semakin dicari, semakin menjadi.
Ini dia pembunuh berantai yang paling keji!"
"Terlalu Tampan","Jadi orang tampan ternyata banyak deritanya... seperti satu keluarga tampan yang kelakuannya aneh ini."
"Ghost Teller","Penasaran dengan apa yang hantu takuti?
"
"Perfect Honeymoon","Pasangan sempurna, pernikahan sempurna, tapi bulan madunya..."
"Ho!","Aku ingin menyampaikan isi hatiku untuk dia yang tidak dapat mendengarnya"
"Ngopi, yuk!","Warung kopi adalah tempat yang paling asik buat ngomongin semua hal. Semua? Iya, semua. Yuk, ikut ngobrol bareng Pak Gundul!"
"Jajan Squad","Berkisah tentang sekelompok sahabat yang gemar membuat video tentang street food di sekitar mereka. Biarpun bermodalkan alat seadanya sih..."
"Next Door Country","Silent Comic tentang kehadiran Bule yang berkunjung ke Indonesia. Bagaimana reaksi mereka melihat keadaan Indonesia tercinta ini, ya?"
"WHATEVER","Menjadi seorang artis hip-hop ternyata tidak semudah yang dikira.."
"Sekar X Popular","Sekar adalah seorang gadis SMA biasa yang menyukai kakak kelasnya. Untuk menarik perhatian sang kakak kelas, Sekar harus menjadi populer! Mampukah Sekar menjadi populer dan mendapatkan pujaan hatinya?"
"Lucunya Hidup Ini","Tentang hidup yang dilihat dari sudut pandang berbeda hingga kita bisa menyeringai melihatnya. "
"Pak Guru Inyong","Sisi kehidupan seorang Guru Honorer"
"Uga Uga","Petualangan seorang gadis metropolitan yang kembali ke zaman purba!"
"I Am Gangnam Beauty","Terlahir kembali dengan wajah lebih cantik!"
"Ghost Path","Cerita-cerita seram yang ada di sekitarmu.. "
"Cinema of Darkness","Gelapnya kehidupan, dibalik cerita-cerita suram"
"Trickster","Anak pindahan itu benar-benar menggemparkan seisi kelas dengan trik menyonteknya! Namun di sisi lain ia juga menemukan sesuatu yang janggal di sekolah. Ada apa sebenarnya?"
"Masdimboy","Kisah seorang muda bernama Masdimboy yang ceritanya pendek dan kadang diulang-ulang dengan ending yang berbeda demi kepuasan si karakter. Semoga menghibur."
"GO-CEK","Suka sepak bola? Dijamin suka ini!"
"90 Days","Ketika Sang Malaikat Maut datang, Rara si mahasiswi tingkat dua yang anti sosial dan hidup segan, mati tak mau tidak punya pilihan selain berubah menjadi orang baik, supaya dirinya tidak masuk neraka."
"KOSAN 95!","Salah jika menganggap Kosan 95 sebagai kos-kosan biasa. Siapapun yang mendapatkan undangan mendapatkan kamar dan biaya ditanggung oleh tuan rumah, tapi dengan harga apa?
Rena gadis biasa yang akan memasuki Kosan 95 yang penuh misteri!"
"Mantradeva","Ketika ramalan telah dilanggar, maka para dewa kembali menurunkan kekuatannya ke dunia dalam bentuk sembilan pusaka Nawadewata. Kini legenda baru sedang diukir."
"We Are Pharmacists","Cerita tentang kehidupan sehari - hari mahasiswa/i D3 Farmasi"
"SCREAM","Kamu yakin tidak akan teriak? Pasang suaranya, scroll layarnya."
"Komik Faktap","Mager baca berita? Baca isu kekinian di webtoon ini! Bukan sekedar fakta!"
"Haunted Station","Pemberitahuan berikutnya, bunuh diri."
"Si Ocong","si ocong adalah sosok yang songong nyebelin tapi ngangenin"
"Minus Hand","Menghadapi segala tantangan dengan MINUS HAND!"
"Love Warp","Suatu malam, seorang remaja biasa bernama Sani tiba-tiba diculik oleh alien. Anehnya, semenjak itu Sani jadi mampu untuk melihat kebahagiaan orang lain!"
"Pasutri Gaje","Mas dan Adek sudah menikah! Tapi siapa yang bilang pernikahan itu mudah?"
"Sepulang Sekolah","Hore, akhirnya jam pelajaran selesai! Ayo, ikuti Koi dan Jui dalam kisah-kisah yang kocak sepulang sekolah!"
"The Call","Hantu ada di depanmu...percaya?"
"School Attack (All of Us Are Dead)","Webtoon original dari serial terpopuler, ""All of Us Are Dead"".
Gawat! Sekolah ini mulai terinfeksi! Apakah kita bisa keluar?"
"Spirit Fingers","Dia mengira dirinya biasa saja sampai dia memasuki klub menggambar.
Akankah dia menemukan warnanya sendiri?"
"Tower of God","Harta, kuasa, dan dendam.. Semua yang kamu inginkan, ada di sini!"
"Love Revolution","Romantis? Tidak mungkin antara hubungan kami!"
"My Ghost Roomie","Hantu dan manusia yang tinggal di bawah satu atap"
"Deadly 7 Inside Me","Pertikaian antara 7 Dosa Besar melawan 7 Kebajikan di dunia"
"Curious Date","Bagi Orlin, melihat gebetannya dari kejauhan saja sudah puas. Namun, ada gosip tentang gebetannya yang membuat Orlin penasaran. Akhirnya, Orlin memberanikan diri agar lebih dekat dengan gebetannya untuk membuktikan kebenaran gosip tersebut."
"GLOOMY SUNDAY","Komik ini mengandung tema kekerasan dan pembunuhan. Cerita aneh, kelam, dan horor..."
"Dracko Diary","Dracko kini pergi merantau demi mengejar cita-citanya menjadi seorang animator!"
"The Golden Spoon","Apakah kamu rela menukar keluargamu dengan yang lebih baik?"
"7 Wonders","Kehidupan Jaka yang penuh dengan kesenangan tiba-tiba berubah ketika perusahaan Ayahnya mengalami kebangkrutan. Di tengah keterpurukan, Jaka bertemu dengan 7 bidadari dari khayangan. Akankah Jaka mendapatkan keajaiban yang bisa mengubah kehidupannya seperti semula?"
"#moments","Kumpulan cerita manis dari curhatan orang-orang di sekitarmu -- teman, keluarga, kecengan, mantan, atau bisa jadi ceritamu sendiri (*・∀-)☆. Kisah-kisah romantis di balik setiap momen-momen pertemuan dan perasaan yang tertinggal setelahnya..."
"Aegis Orta","Val adalah seorang murid SMA biasa, namun kehidupannya berubah ketika dia mengetahui siapa dirinya sebenarnya..."
"In A Dream","Cerita tentang Valerie, gadis yang bertemu cowok misterius di mimpinya."
"Sweet EscapE","Punya pacar idol?"
"Soekirman: Ramadhan di Kampung Halaman","Mau rasain hari-hari unik puasa di Semarang? Ikut Bang Kirman pulang aja!"
"Nostalgia Ramadhan Si Juki Kecil Season2","Ayo nostalgia bulan Ramadhan lagi bareng si Juki kecil!"
"Super Santai: Operasi Ramadhan","Ngabuburit sambil rileks sama Super Santai, yuk!"
"DARK SPIRITS","ketika portal dunia ghaib dan dunia manusia terbuka..."
"Creep","kumpulan cerita-cerita horor yang akan merayapi mimpi-mimpimu.
"
"LUCKY ROMANCE","Dukun bilang dia bakal jadi pacarku! Bener nggak ya?"
"GHOSTY's COMIC","Asam manis perkhilafan dan cerita lainnya, Bergabunglah bersama Jaret, Emon, Sultan, dan teman-teman lainnya dalam menghadapi suka dan duka dunia perhobian!"
"Recycle","Ketika manusia ibaratkan ""sampah"" maka saat itulah daur ulang diperlukan. Siji salah satu anggota berandalan disekolahnya mendapati sifat pimpinannya yang berubah derastis. ketika sang ketua menyuruhnya datang ke sekolah saat tengah malam, Siji tidak tau bahwa kedatangannya akan merubah dunianya."
"Terlambat Jatuh Cinta","Populer dan banyak digemari di kampus, itulah Barney. Ia selalu mendengar ungkapan perasaan dari para perempuan, termasuk Elvira. Tapi Elvira ternyata tidak punya waktu lama. Apa yang harus Barney lakukan sebelum terlambat?"
"STALKER","Stalker yang telah mengincarmu selama 6 tahun akan menceritakan sesuatu..."
"Si Udin","Mengisahkan cerita kehidupan sehari-hari Si Udin dan teman-temannya."
"Serba Salah","Galau selalu disalahkan? Ngapain galau, ketawain aja!"
"Dr. Frost","Dr. Frost ada psikolog jenius yang percaya bahwa manusia pada dasarnya sama. Kemampuannya membaca pikiran seseorang akan membuatmu takjub! Webtoon ini telah diangkat menjadi serial TV di Korea."
"Lazy Cooking","Semua pasti suka makan enak! Tapi... kalau beli makanan terus, bisa boros! Terus, mau masak sendiri... ga bisa masak! Mau belajar masak... malas dan ribet! Susah! Eits, jangan cari-cari alasan lagi. Komik ini bakal ngajarin kamu cara masak yang simpel, murah, dan enak. Cobain deh!"
"NANO LIST","Suatu hari, hadiah ulang tahunku terkirim oleh kakakku yang tewas bunuh diri..."
"Siren's Lament","Lyra adalah gadis pemalu yang memiliki kehidupan normal dan tenang. Namun, kenyamanannya terusik ketika Lyra tidak sengaja terju ke dunia para siren. Terjerat dalam kutukan, Lyra belajar bahwa dunianya lebih besar dari yang selama ini dia kira."
"Bisikan","Saat keheningan menyelimutimu, jangan pikir kamu sendirian. Pasang telingamu, maka akan terdengar suara bisikan lirih. Makin lama makin jelas... berani dengarkan kisahnya?"
"Alice","Kampus baru, dunia baru! Alice si cewek ceroboh kini ngekos sendiri dan bertemu teman-teman kuliahnya yang asyik. Kira-kira selain teman, apa Alice akan menemukan cinta di kampusnya?"
"Bastard","Pembunuhan berantai dengan korban para wanita tak berdosa sedang terjadi! Meski kelihatan lemah dan sakit-sakitan, hanya Jin lah yang mengetahui siapa pembunuh misterius itu. Monster macam apa yang begitu keji pada korbannya?"
"Smile Brush: My Old Pictures","Smile Brush Season 2! Waroo kembali lagi dengan kenangan hangat!"
"MAYAGO","Akhirnya Possessed kembali dengan Season 2!
Bisakah Yukyeong menyelamatkan Master Cheon?"
"Girl's World","Jadi bebek di antara para angsa? We will surive!"
"Ecstasy Hearts","Shimizu Anya adalah putri dua pemain tenis paling top di dunia. Kini, Anya bertekad menaklukkan dunia tenis profesional... sebelum lawannya menghancurkan segala impiannya. Ini saatnya perseteruan satu arah dimulai!"
"304th Study Room","Selama 40 hari, Desyca, siswi pemalas tapi super hokki, menjalani karantina pra-OSN Fisika bareng cowok-cowok ganteng dari SMA elit di Ruang Belajar Nomor 304. Tetapi Fisika bukan satu-satunya pelajaran yang ia pelajari selama proses karantina...."
"Born from Death","Kuat, cepat dan tidak bisa menjadi tua. Mereka dibangkitkan dari kematian untuk memburu para Jinn pembunuh. Orang menyebut mereka UNDEAD, makhluk yang kuat tapi juga lemah."
"The Normies","Cemas? Kesepian? Iri hati? 99% orang mengalami hal serupa! Nggak apa-apa, itu tandanya kamu normies! The Normies adalah serial 'one page webtoon' yang dibuat untuk kalian yang hobi kode. 
Capture dan sebarkan komik the Normies di sosial mediamu!"
"Soekirman","Ini kisah Soekirman, pemuda hits kekinian asal Semarang yang mengadu nasib di Jakarta. Ada aja kekonyolan yang terjadi tiap hari di hidupnya. Ni orang enak banget diajak asik-asikan, ya emang dia mah gitu orangnya."
"Noblesse spin-off","Lord para Noblesse meminta Rai mencari ""Air Mata Dewa"" yang legendaris. Akankah Rai mampu menuntaskan misi ini? Kisah sebelum Rai tertidur selama 820 tahun ini tidak kalah serunya dari serial utama!"
"Wonderwall","Bagi Jessy, ""Wonderwall"" adalah seseorang yang selalu ada untukmu dan membuatmu bahagia. Seseorang yang membuatmu tidak berhenti memikirkannya. Tapiii, gimana kalau orang itu ada dua? "
"No Homo","Persahabatan super akrab Brian dan Ditya bikin semua orang curiga! Kemana-mana bareng, ngekos bareng, sekampus, suka selfie bareng... mereka benar-benar bersahabat kan? Eits, no homo!"
"Nusantara Droid War","Nusantara Droid War adalah permainan seru yang sedang tren di Indonesia! Para pemain berlomba memenangkan pertarungan dengan droid-droid mereka yang tangguh. Tapi, benarkah NDW hanya permainan biasa?"
"Flawless","Sarah, si cewek tangguh tidak sengaja bertemu Elios pemuda tunanetra seusianya. Elios begitu misterius, bikin Sarah penasaran. Apakah Sarah jatuh cinta? Mungkin ada sesuatu di balik ini semua?"
"Eggnoid","Hidup Ran yang kesepian jadi lebih berwarna akibat kehadiran Eggy. Cowok ganteng ini keluar dari telur misterius yang muncul di kamar Ran. Tetapi... Eggy tingkahnya seperti anak ayam yang baru menetas! Kira-kira dari mana asalnya ya?"
"Si Juki : Kisah Kusut Dunia Dongeng","Kali ini, Si Juki akan berpetualang bersama Jule dan Prof. Yololoyo ke dunia dongeng yang belum pernah kamu lihat sebelumnya. Ini bukan dongeng biasa, karena semua bakal kusut gara-gara tingkah mereka!"
"Ojek Story","Tidak hanya mengantar penumpangnya, tukang ojek ini ikut menghantarkan berbagai kisah yang dibawa penumpangnya. Kadang sedih, kadang bahagia, Ada cerita apa ya hari ini? "
