"judul_elex","sinopsis_elex"
"hell girl return","AI ENMA SI GADIS NERAKA DATANG KEMBALI! Dengan mengakses sebuah situs, tepat pukul 00:00, lalu memasukkan nama orang yang dibenci, gadis neraka akan membalaskan dendammu. Orang itu akan lenyap dan tenggelam di dasar neraka bersama Ai Enma . Apa ini sebuah harapan atau keputusasaan?"
"hell s kitchen","Apakah makanan paling enak di neraka? Itu adalah jiwa seorang juru masak sejati . Sayangnya, sama seperti makanan enak lain, sulit sekali untuk mendapatkannya. Dogma, seorang iblis pecinta kuliner akhirnya memutuskan untuk pergi ke dunia dan membuat sendiri juru masak sejati yang bisa dia makan, dan calon pilihannya jatuh pada Satoru, pemuda biasa yang belum bisa apa-apa."
"hibiki magic","Hibiki kini telah menjadi penyihir yang bekerja di sebuah perguruan sihir dan membantu penelitian-penelitian terkait sihir . Meski sebenarnya gadis itu tidak memiliki bakat sihir dan keahliannya hanya membuat teh yang enak, Hibiki tidak menyerah! Kali ini, Hibiki mendengarkan kisah masa lalu Ikko serta alasannya mempelajari kutukan padahal itu sesuatu yang mengerikan. Apakah sebenarnya yang mendorong wanita secantik Ikko meneliti kutukan!? Baca juga kisah-kisah manis lain dari Hibiki dan kawan-kawannya!"
"hidamari sketch","Akhirnya Hiro dan Sae akan lulus dari Yamabuki . Para senior itu akan berpisah meninggalkan para adik kelas mereka di Hidamari. Tapi bukan hanya perpisahan saja, karena para murid baru yang akan menjadi adik kelas pun akan datang untuk membuat kenangan baru."
"high school debut","Haruna seorang gadis energik yang aktif di kegiatan klub memutuskan untuk mendapatkan cinta di SMA . Tapi, pacarnya tidak bisa melakukan itu semua bahkan jika dia melakukan yang terbaik tidak terlalu dipedulikan. Di tengah situasi ini ada seorang lelaki tampan dan baik yang mengenalnya muncul di hadapannya dan...! ?"
"highschool of the dead","Takashi Komuro, siswa SMA kelas 2, ketika bolos pelajaran di pagi hari, melihat kejadian aneh di gerbang sekolahnya . Kekacauan pun terjadi di sekolahnya. Mendadak guru dan murid-murid menjadi seperti zombie yang ada di film-film. Apakah yang sebenarnya terjadi? Mampukah Takashi, Rei, dan Hisashi lolos dari kejaran mereka?"
"historie","Eumenes yang pintar segera mendapat kepercayaan dari Raja . Dia pun akhirnya kembali ke Cardia sebagai anggota tentara Makedonia. Bagaimana perlakuan Hecataeus melihat Eumenes yang menjadi orang penting di Kerajaan Makedonia?"
"horimiya","Kisah masa muda yang penuh riak dan gejolak!! Hori adalah siswi SMA yang di luar tampak penuh gaya, namun di rumah sibuk mengurus pekerjaan rumah tangga dengan wajah polos tanpa make up . Sedangkan Miyamura adalah siswa yang di sekolah tampak biasa, namun sebenarnya adalah cowok cantik penuh tindikan dan tato di sekujur tubuh. Apa yang terjadi saat dua orang yang tampak bertolak belakang namun sesungguhnya mirip itu berjumpa!?"
"hot blooded girl","Mana otot-ototku?! Kang Hajie, cewek yang hobi berantem dan selalu mau jadi yang terkuat . Apa jadinya bila ia harus berada dalam tubuh Han Aram, cewek cantik namun sakit-sakitan?"
"hunter x hunter","Gon, seorang bocah yang bercita-cita menjadi hunter, suatu hari mengetahui kalau ayahnya yang dikiranya sudah mati ternyata masih hidup! Ayah Gon adalah seorang hunter berlisensi yang berburu harta, makhluk gaib, dan sebagainya ke berbagai tempat di seluruh penjuru dunia . Gon bertekad untuk mengikuti jejaknya dan memutuskan untuk mengikuti ujian menjadi hunter agar bisa menjadi hunter terhebat sedunia! Tapi tantangan yang harus dihadapinya sangat amat berat!"
"i am a hero","Hideo Suzuki, 35 tahun, asisten pembuat komik yang berjuang menjadi hero di dalam hidupnya sendiri dengan berusaha menjadikan serial komik terbarunya populer lagi . Sementara itu, ia juga harus bersusah payah mempertahankan hubungan dengan kekasihnya, Tekko. Suatu hari, saat ia mengunjungi apartemen kekasihnya itu,Tekko tidak menjawabnya sama sekali. Apa yang sebenarnya terjadi pada Tekko?"
"i love you, baby","Kippei Kataoka, playboy 17 tahun, tiba-tiba disuruh mengurus seorang anak perempuan berumur 5 tahun yang datang ke rumahnya . Kippei yang setiap hari kencan dengan teman-teman perempuannya sepulang sekolah, kini harus menjemput Yuzuyu di TK!?"
"i m the world s most","Shugo, Ash, dan Taro adalah tiga pria di akhir umur 20-an yang berteman sejak kecil . Suatu hari, di hadapan mereka tiba-tiba muncul seorang wanita cantik mencurigakan, yang memperkenalkan diri sebagai Agen No. 773. Wanita yang bekerja untuk organisasi misterius bernama Sekai itu bertanya, Bagaimana jika kita tentukan siapa yang paling malang di antara kalian? Inilah kisah rumit mengenai orang-orang yang berjuang menjalani keseharian mereka sembari mengemban beban hidup masing-masing..."
"i saved the country","Hwang Min Seo, 28 tahun, seorang jaksa yang hidup dengan penuh rasa keadilan atas nama hukum . Dia memiliki seorang pacar bernama Kang Jun Hyeon, seorang jaksa tampan. Saat mengatakan I`m the best kepada dunia, muncul kasus yang menghebohkan! Yu Sang Woo, si pembuat onar sekaligus penguasa sekolah saat SMA terlibat dalam kasus!!! Tanpa sengaja, Min Seo kembali bertemu dengan Sang Woo di atap sekolah mereka. Tapi, Min Seo justru ikut terjatuh saat mau menolong Sang Woo yang melompat dari atap. Layaknya time slip, Min Seo kemudian terlempar ke masa 10 tahun lalu dan berubah menjadi siswa SMA berusia 18 tahun!!!"
"i ve been killing slimes for 300 years","Azusa, seorang budak perusahaan yang mendedikasikan hidupnya untuk bekerja mati-matian ... sampai mati betulan. Atas belas kasihan dewa, dia diberikan kehidupan kedua di dunia lain. Permintaannya adalah hidup abadi, dengan santai. 300 tahun berlalu. Azusa yang dikenal sebagai Penyihir Dataran Tinggi tiap hari membunuh slime, dan tahu-tahu dia sudah jadi makhluk terkuat di dunia."
"ichiro s ghost stories","Ichiro Hanada adalah bocah yang terkenal nakal di lingkungannya . Suatu hari, dia mengalami kecelakaan akibat kenakalannya yang melewati batas. Untungnya dia lolos dari maut dengan sembilan luka jahit di kepalanya. Tapi, sejak kejadian itu, dia juga memperoleh kemampuan menakutkan yang berhubungan dengan hantu! Mari kita ikuti pengalaman seram sekaligus seru Ichiro!"
"interstellars bridge","Haru, gadis Jepang yang harus pindah ke Shanghai karena ayahnya dipindahtugaskan ke sana . Dia selalu merindukan kampung halamannya di Nagasaki dan kurang menyukai kehidupannya di Shanghai. Tapi kemudian dia bertemu dengan seorang anak China bermata perak bagai galaksi bima sakti yang dipenuhi bintang..."
"interview with monster girls","Vampir, Dullahan, Succubus, Yuki Onna . Di dunia ini ada juga individu yang sedikit beda dengan kita. Mereka disebut Ajin, atau demi-human, tapi belakangan sering juga disingkat jadi Demi. Para Demi yang manis ini juga punya kebimbangan dan masalah mereka sendiri."
"inuyasha","Kagome seorang gadis SMA yang tinggal bersama kakek, ibu dan adik laki-lakinya, di Kuil Higurashi . Pada suatu hari, dia masuk ke dalam sebuah sumur tua untuk menolong seekor kucing.Tiba-tiba Kagome ditarik sesosok makhluk masuk ke dasar sumur, yang merupakan ruang pemisah waktu ke zaman feodal. Pada Kagome makhluk itu berkata menginginkan bola kristal Shikon No Tama dan terjadilah pergumulan antara Kagome dan makhluk itu. Setelah berhasil menngalahkan makhluk itu Kagome bertemu dengan manusia setengah siluman bernama Inuyasha yang terkulai di sebuah pohon dengan panah tertancap di tubuhnya."
"iris zero","Inilah dunia di mana sebagian besar orang memiliki kekuatan yang disebut iris . Toru yang sejak kecil mengalami penindasan karena tidak memiliki iris terus berusaha untuk tidak tampil mencolok. Motonya adalah tidak menarik perhatian. Suatu hari, Koyuki, membuat sebuah pernyataan padanya. Sejak itulah hari-harinya yang penuh kedamaian berubah. Moto yang telah dipegangnya sejak kecil mulai goyah. Inilah kisah fantasi mendebarkan dengan latar belakang kehidupan sekolah!"
"travel guide book with si juki: silk road & inner mongolia","Ingin mencoba petualangan yang beda dari biasa? Berkunjung ke makam Gengis Khan dan Yellow Mountain akan memberikan pengalaman yang tak biasa untuk Anda . Kenali juga wisata ke perkampungan muslim suku Hui di Ningxia. Bersama SI JUKI, ayo kita intip wisata apa saja yang ada di Inner Mongolia dan Jalur Sutra!!"
"jigokudo perantara dunia","Trio Bandel (Tetsushi, Ryochin, Shina) merupakan tiga bocah SD yang terkenal dengan keisengan-keisengan namun juga pembela keadilan di kotanya . Pada suatu hari, mereka mengunjungi toko obat yang dijuluki Jigokudo alias Aula Neraka, saking seramnya!! Rumornya, kakek pemilik Jigokudo itu seorang penyihir dan kucingnya, Garako, adalah siluman! Jigokudo yang diliputi misteri itu menggelitik rasa penasaran ketiganya! Mampukah mereka membongkar misteri toko itu?"
"johan and pirlouit","Johan dan Pirlouit bertemu pria yang mengaku sebagai Duke Castellac di sebuah kedai . Ia terlihat kumal dan kelelahan. Namun, saat Johan dan Pirlouit mencari kuda untuknya, Duke diculik orang tak dikenal dan kejanggalan demi kejanggalan mulai terjadi. Mampukah Johan dan Pirlouit memecahkan misteri siapa dalang penculikan Duke dan apa maksudnya?"
"jujutsu kaisen","Yuji Itadori seorang murid SMA dengan kemampuan atletik yang luar biasa . Kesehariannya adalah menjenguk kakeknya yang terbaring di rumah sakit. Suatu hari, segel objek terkutuk yang berada di sekolahnya terlepas, monster-monster pun mulai bermunculan. Yuji menyusup ke dalam gedung sekolah demi menolong senior di klubnya, akan tetapi...!?"
"jurnal mukai usagido","Era Meiji, masa puncak pencerahan peradaban ... Sebuah toko peminjaman buku aneh bernama Mukai Usagido diam-diam menyembunyikan buku-buku mistis yang melawan arus perkembangan zaman. Pada saat itu, Undang-Undang Anti-Okultisme yang mengawasi segala hal yang berhubungan dengan makhluk gaib telah diterapkan dan masyarakat pun bergerak untuk memusnahkan makhluk gaib... Sementara itu, pemilik toko buku yang dapat melihat makhluk gaib, Iori Tozaki, Gin si siluman kucing, dan Chiyo si siluman tanuki, memutuskan untuk membuka tempat konsultasi bagi para makhluk gaib yang memiliki masalah!"
"juru masak para maiko","Ini adalah kisah sebuah wisma di distrik bunga yang terletak di tengah kota Kyoto . Kiyo, seorang gadis berusia 16 tahun bekerja sebagai juru masak di wisma tersebut. Ikutilah keseharian Kiyo di dapur, menghidangkan masakan sederhana, namun penuh kehangatan bagi para Maiko yang hidup di dalamnya."
"kami kami kaeshi","Kami Kaeshi adalah sebuah ritual untuk memulihkan energi para dewa dengan beristirahat di dalam rambut seseorang . Atau dengan kata lain disegel di dalam rambut. Adalah seorang gadis bernama Mashiro, ia sengaja disekap di dalam sebuah ruangan karena rambutnya digunakan untuk ritual para dewa tersebut. Sampai suatu hari ia bertemu dengan seorang dewa yang selama ini disegel di dalam rambutnya. Apa yang terjadi?"
"kamunagara","Sejak zaman dahulu, biro ritual bagian perlindungan departemen rumah tangga istana dan klan pedang, menyegel Magatsuhi ke dalam field . Tapi di masa sekarang, serangan balas dendam dari mereka yang kembali dari field semakin menguat. Hitaka Kugaya, keturunan terakhir klan pedang pun berusaha keras untuk memukul mundur musuh satu per satu. Tapi, Amano dari biro ritual yang mengawasinya, melakukan manuver tersendiri, dengan tujuan yang berbeda dengan organisasinya. Tanpa mengetahui hal itu, Kugaya dan kawan-kawan menjalani masa-masa yang damai, sebelum dimulainya pertarungan yang telah ditentukan! Apa yang akan terjadi kemudian?"
"kanata kakeru","Kehidupan biasa Haruto, anak pemilik penginapan di Hakone, berubah dengan kedatangan siswi pindahan, Kanata . Siswi SD aneh dari Tokyo yang setiap pagi berlari mengejar bus sekolah itu membuatnya penasaran, terutama dengan pengakuannya bahwa dia suka berlari mendahului orang! Inilah kisah masa muda yang akan membuat kalian ingin ikut berlari menyongsong masa depan..."
"kannagi","Tiba-tiba muncul seorang gadis aneh di hadapan Jin . apa benar dia seorang dewa? Tapi karena gadis itu tak punya tempat tinggal, akhirnya mereka tinggal bersama dan hari-hari Jin yang penuh kehebohan pun dimulai."
"kanojo okarishimasu","Kazuya Kinoshita (20) seorang mahasiswa payah, yang tinggal di Tokyo . Berawal dari perjumpaannya dengan seorang cewek cantik bernama Chizuru Mizuhara pada suatu hari karena alasan tertentu, hidupnya mulai berubah drastis!"
"karakuri circus","Sesuatu terjadi pada narumi yang tengah mengejar sirkus tengah malam, basis pusat para automata! Saat mendengarkan cerita masa lalu dari sang suhu, narumi lain yang selama ini tertidur lelap dalam dirinya, terbangun dan memulai perjalanannya ke masa lalu, ke suatu tempat yang jauh ... Namanya Bai In. Apa yang terjadi pada Bai In, yang pergi dari Cina ke Praha, untuk mendalami ilmu alkimia?"
"karate master minoru","Setelah Klub Karate Kedua dibubarkan, Minoru dan kawan-kawan tetap berlatih di bantaran sungai . Setahun kemudian, mereka memutuskan untuk ikut serta dalam Turnamen Shiryukan, tempat Ryu Osugi berlatih. Apa Minoru bisa bertanding kembali melawan Ryu Osugi? Lalu, apa yang dilakukan Minoru dan kawan-kawan untuk memenangi turnamen itu?"
"kariage kun","Nggak ada cowok sekurang ajar Kariage . Kalau ngomong blak-blakan dan sering bikin orang kesal. Tapi, jangan dianggap serius, ya. Simak saja keusilan Kariage di KARIAGE KUN!!"
"kashiwagi next to me","Yuuto akhirnya menyadari dia jatuh cinta pada Kashiwagi . Sayangnya, dia juga sadar dari segi spesifikasi, mereka terpaut jauh sekali. Apa jadinya kalau tiba-tiba muncul seorang pria dewasa yang tampak sangat dekat dengan Kashiwagi ?"
"kekkaishi","Yoshimori, dkk menyusup bersama ibunya ke dalam istana hitam yang muncul dari bawah tanah untuk menjemput Tuan Karasumori yang tersegel selama 400 tahun. Rombongan pun berkeliling mencari lokasi keberadaan sang tuan di dalam istana di mana makhluk-makhluk beraneka rupa berseliweran, tapi sekalipun ada pertanda kehadirannya, sosoknya tak ditemukan... Saat itu, Yoshimori mengambil tindakan tak terduga! Nasib para kekkaishi pun mulai berubah drastis"
"kimi ni todoke","Gara-gara penampilannya yang suram dan sifatnya yang pendiam, Sawako selalu ditakuti oleh teman-teman sekolahnya . Namun, semua itu berubah sejak Kazehaya, cowok idamannya, mulai berteman dengannya. Dan di uji nyali yang diadakan sebelum liburan musim panas, Sawako pun mendapat peran hantu! Kira-kira apa, ya, yang akan terjadi!?"
"kindaichi","Hajime Kindaichi, seorang siswa kelas 2 SMA adalah cowok yang selalu santai dan seenaknya, namun sebenarnya dia cucu dari Kosuke Kindaichi, seorang detektif terkenal! Begitu terlibat dalam kasus kejahatan, dia mampu menguak trik sulit dan mengungkap jati diri pelaku dengan kemampuan analisisnya yang tajam ditemani kawan sejak kecilnya, Miyuki Nanase . Kali ini, Kindaichi terlibat dalam kasus pembunuhan beruntun yang merupakan ulah sang Yukioni, iblis dalam legenda yang diceritakan telah membunuh dengan keji seluruh warga di suatu desa dan mampu melenyapkan mayat mereka tanpa jejak!!"
"kindaichi 20th anniversary series","Hajime dan Miyuki diundang teman sekelas semasa SMP, Mayu Midorikawa, untuk mengunjungi Desa Hitokui, sebuah desa di pedalaman gunung yang menyajikan pemandangan kota kuno Showa . Meski demikian, di balik pemandangan nostalgi itu, tersembunyilah kejahatan yang mengancam. Pada malam pertama mereka di sana, jembatan gantung yang menjadi satu-satunya penghubung desa, terbakar. Dan itu hanya permulaan dari kasus pembunuhan berantai di Laboratorium Hitokui yang disebut-sebut sebagai tempat pemangsa manusia."
"king of idol","NEMS, sekolah pelatihan idol khusus perempuan, yang reputasinya paling unggul Inilah kisah mengenai keseharian Mahoro Harukana, anak dari seorang idol legendaris, yang sedang berjuang dengan keras demi menggapai mimpinya di sekolah tersebut . Tapi, ternyata Mahoro sebenarnya adalah seorang anak lelaki yang menyamar menjadi perempuan!!"
"king s detective note","Raja Yejoong merupakan raja dari generasi ke-8 yang pernah duduk di takhta Kerajaan Joseon . Walaupun sejarah pemerintahan Raja Yejoong sangat singkat, namun ia dikenal sebagai raja yang terpandai. Bersama dengan penasihatnya, Yoon Iso, mereka berdua memiliki petualangan kasus yang mendebarkan!"
